nw_x,nw_y,ha_illadas,ha_nucleos,ha_faixa,NOMECONCEL,PARROQUIA,n_parroquias,bloque
523,4653,0.0,2.015808038515031,2.015808038515031,Tomiño,Piñeiro (San Salvador),1,PNOA-2024-GAL-523-4653-H29-NPC01.LAZ
562,4715,0.0,2.0120783334016057,2.0120783334016057,Lalín,Vilatuxe (San Lourenzo),1,PNOA-2024-GAL-562-4715-H29-NPC01.LAZ
558,4717,0.0,2.009021000756431,2.009021000756431,Forcarei,Aciveiro (Santa María),2,PNOA-2024-GAL-558-4717-H29-NPC01.LAZ
579,4734,0.0,2.0065425407506234,2.0065425407506234,Agolada,Ferreiroa (San Pedro),1,PNOA-2024-GAL-579-4734-H29-NPC01.LAZ
538,4711,0.0,2.0058675505470327,2.0058675505470327,Campo Lameiro,Moimenta (Santa María),2,PNOA-2024-GAL-538-4711-H29-NPC01.LAZ
535,4732,0.12606382059150623,1.871356779759565,1.997420600351071,A Estrada,San Xurxo de Vea (San Xurxo),1,PNOA-2024-GAL-535-4732-H29-NPC01.LAZ
546,4715,0.0,1.9920964410835378,1.9920964410835378,Cerdedo,Quireza (San Tomé),1,PNOA-2024-GAL-546-4715-H29-NPC01.LAZ
535,4682,1.9910461419855219,0.0,1.9910461419855219,Redondela,Reboreda (Santa María),2,PNOA-2024-GAL-535-4682-H29-NPC01.LAZ
520,4653,0.0,1.988936380795477,1.988936380795477,Tomiño,Vilameán (San Bieito),1,PNOA-2024-GAL-520-4653-H29-NPC01.LAZ
537,4656,1.9774906422595337,0.0,1.9774906422595337,Salvaterra de Miño,Porto (San Paulo),2,PNOA-2024-GAL-537-4656-H29-NPC01.LAZ
551,4669,1.9748382902949009,0.0,1.9748382902949009,As Neves,Batalláns (Santa Eulalia),1,PNOA-2024-GAL-551-4669-H29-NPC01.LAZ
535,4714,0.7582188430602591,1.2110585223868187,1.9692773654470779,Moraña,Santa Xusta de Moraña (Santa Xusta),1,PNOA-2024-GAL-535-4714-H29-NPC01.LAZ
579,4743,0.0,1.9614247803827174,1.9614247803827174,Agolada,Berredo (Santa María),2,PNOA-2024-GAL-579-4743-H29-NPC01.LAZ
